lote,familia_ou_produto,qtd_skus,skus,preco_min,preco_max,estoque_total,categoria_woo,imagem_principal,observacao
4,Molinete Bk2000 Cmik,1,8800550803371,"200,00","200,00",1,"Pesca > Molinete, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803371__molinete-bk2000-cmik.jpg,an?ncio simples
4,Molinete Bk3000 Cmik,1,8800550803388,"205,00","205,00",1,"Pesca > Molinete, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803388__molinete-bk3000-cmik.jpg,an?ncio simples
4,Molinete Bk4000 Cmik,1,8800550803395,"210,00","210,00",1,"Pesca > Molinete, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803395__molinete-bk4000-cmik.jpg,an?ncio simples
4,Molinete Maruri Belga 2000,1,4710155376375,"199,90","199,90",1,"Pesca > Molinete, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/4710155376375__molinete-maruri-belga-2000.jpg,an?ncio simples
5,Anzol Marine 1971N,1,7898480920962,"15,00","15,00",13,"Pesca > Anzóis, Pesca > Anz?is, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-anzol-marine-1971n__anzol-marine-1971n.jpg,an?ncio simples
5,Anzol Marine 4330,1,7898480924311,"9,90","9,90",12,"Pesca > Anzóis, Pesca > Anz?is, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-anzol-marine-4330__anzol-marine-4330.jpg,an?ncio simples
5,Boia Arremesso - Jr Esporte E Pesca,1,4717,"8,00","8,00",17,"Pesca > Acessórios Pesca, Pesca > Acessorios Pesca > Boias, Pesca > Acessórios Pesca > Boias, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-boia-boia-arremesso-jr-esporte-e-pesca__boia-arremesso-jr-esporte-e-pesca.jpg,an?ncio simples
5,Caixa 6 Bandejas Grande Hi,1,7898914878524,"194,90","194,90",1,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Caixas & Maletas, Pesca > Acessorios Pesca > Caixas & Maletas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898914878524__caixa-6-bandejas-grande-hi.jpg,an?ncio simples
5,Chumbada Oliva,2,2549 | 2680,"8,00","8,00",55,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Chumbadas & Pesos, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/06/IMG_3809-scaled.jpeg,agrupar como varia??es no ML quando fizer sentido
5,Eva De Superficie C/20Un Boias Barão,1,7898515870453,"7,90","7,90",39,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Boias, Pesca > Acessorios Pesca > Boias, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898515870453__eva-de-superficie-c-20un-boias-barao.jpg,an?ncio simples
5,Linha Platinum Xt - Ottoni,1,7899000220029,"16,00","16,00",20,"Pesca > Linhas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-platinum-xt-ottoni__linha-platinum-xt-ottoni.jpg,an?ncio simples
5,Linha Saigon X4 - Marine Sports,2,7908137904341 | 7908137904358,"39,90","39,90",46,"Pesca > Linhas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-saigon-x4-marine-sports__linha-saigon-x4-marine-sports.jpg,agrupar como varia??es no ML quando fizer sentido
